"OS_NAME,PT_NAME,Timebase,Derivation,Timestamp,Value,Manual"
"BME_TW,RAIN_G,5M,VAL,04:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,03:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,02:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,01:10 11-SEP-2011,0.000000,"
